구인제목,사업장명,업종,직종,채용인원,근무지역,근무내용,경력조건,필요경력,급여,근무시간,근무형태,접수마감,전형방법,지원방법
재가센터 사회복지사 채용,강서 온마음시니어 재가센터,사회복지,사회복지사,1명,서울특별시 강서구 가로공원로82길 43  (화곡동) 2층,"-업무; 재가센터내 프로그램관리 사회복지업무
-직무내용: 프로그램관리로 65세이상 요양등급 건강회복 프로그램 관리등
-근로시간: 13:00~16:00 (주 5일, 3시간)
-시급: 10,000원
-필수: 사회복지사 자격증, 프로그램 관리 교육이수자",무관,,"(시급) 12100원
								
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~12:00,주간,채용시까지(2개월이내),"서류 ,면접","방문,팩스,기타( 전자우편(sinesook0@naver.com) 및 팩스지원 )"
보육교사 연장반 모집,베베스쿨어린이집,사회복지,보육 교사,1명,"서울특별시 송파구 올림픽로35길 104  (신천동) 24-103(신천동, 장미아파트)","연장교사 업무
신입.경력 관계없음
근무시간: 15:00~19:00(4시간)주5일
급여:1,068,000원",신입,,"(월급) 106만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",15:00~19:00,주간,채용시까지(2개월이내),"서류 ,면접",기타
한국교육환경보호원  2024년 제1회 정규직(일반직) 채용 재공고,한국교육환경보호원,IT,IT 기술지원 전문가,1명,충청북도 청주시 흥덕구 오송생명5로 267 -4 (오송읍) 한국교육환경보호원,"[일반직 6급(정보화-전산)]
 - 기관 시스템 및 인프라 운영관리
 - 정보화, 정보보안 및 개인정보보호 정책 수립·운영
 - 교육환경정보시스템 및 교육환경플랫폼 운영관리 지원",무관,,(월급) 220만원,09:00~18:00,주간,2024.05.10,"서류 ,면접 ,필기 ,기타",기타( https://schoolkeepa.applyin.co.kr/ )
JAVA 웹 개발자 모집 ( 5명 채용 ),주식회사 성진하이텍,IT,웹 개발자,5명,"서울특별시 금천구 벚꽃로 278  (가산동) 703호 (가산동,에스제이테크노빌)","[ IT S/W 개발자 신입사원 5명 채용 ]

- JAVA / Mobile 개발 업무
- Web Java 개발 / Android / IOS 개발 등
- 신입,경력 / 정보처리기사 자격, 석박사 우대
- 상용직 / 주 5일
- 비 전공 개발자도 지원 가능
- 급여 : 신입 ( 4년제 대졸 기준- 3천만원) 급여 책정.
- 복리후생 : 최신 노트북 지급, 청년내일채움공제 적용 사업장, 퇴직연금 도입. 복지몰 운영
- 근무지역 : 서울, 경기 등
- 기업연수원 운영 일정기간 신입사원 현장실무 훈련 / 현장실무 적응 용이
- 금천구 가산동 소재

[ 회사 소개 ]
- 중소벤처기업부가 최근 공식 인정한 인재육성형 중소기업 인증에 빛나는 (주)성진하이텍(www.sjht.co.kr)은 공공/금융/통신 SI/SM 사업과 모바일 솔루션 사업을 진행하고 있는 회사입니다.
- SI/SM 사업 부분은 대기업들과 협력하여 공공, 금융, 국방, 이동통신 등 사회 각 요소에 최적의 솔루션으로 최상의 시스템을 제공하고 있으며, 고객들로부터 좋은 평가를 받고 있습니다.
- 당사는 학교 졸업한 지 오래된 나이 있는 비전공 개발자도 지원 가능합니다.
- JAVA 신입 사원을 모집 중에 있사오니, 많은 지원 부탁드립니다.",무관,,"(최소연봉) 3000만원
									
								
							
							
							
							
						
					  - 면접 후 협의가능 
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00/휴게시간12:00~13:00,주간,채용시까지(2개월이내),"서류 ,면접 ,필기 ,기타","전자우편,기타( 워크넷 입사지원시스템 )"
어린이집 보육도우미 조리 주방 업무_채용완료,역삼럭키어린이집,"교육,보육",교사보조 및 보육보조 서비스 종사원,1명,서울특별시 강남구 논현로 213  (도곡동) 역삼럭키아파트,어린이집 보육도우미 조리 주방 업무,무관,,"(월급) 104만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~14:00,주간,채용시까지(2개월이내),"서류 ,면접",방문
어린이집 보육도우미 모집,구립벽산어린이집,"교육,보육",보육시설 서비스 종사원,1명,서울특별시 성동구 금호로 100  (금호동1가) 구립 벽산어린이집,"**구립어린이집 보육도우미 모집합니다 **

- 보육교사보조, 주방 보조및 청소

- 근무시간 : 10:00~14:30 (시간협의가능) 휴게시간 30분

- 월급 : 1,035,300원 (중식제공)",무관,,"(시급) 9860원
								
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",10:00~14:30,주간,채용시까지(2개월이내),"서류 ,면접","방문,팩스,기타( leekim6458@hanmail.net )"
교사보조 및 보육보조 서비스 종사원,블루밍킨더학원,"교육,보육",교사보조 및 보육보조 서비스 종사원,1명,서울특별시 서대문구 성산로 529  (대신동) 단독건물,"대신동 영어유치원 셔틀버스 동승 안전도우미
- 등하원지도, 셔틀동승, 환경미화, 식사준비 외
- (오후)15:30~19:00",무관,,(월급) 120만원,,주간,채용시까지(2개월이내),"서류 ,면접","전자우편,기타( 채용담당자 휴대폰 지원 )"
2024-6 서울청각장애인학습지원센터 직원 채용 재공고 계획보고,시립서대문농아인복지관,"교육,보육",특수교육 교사,1명,서울특별시 서대문구 수색로4가길 23  (남가좌동) 서울시 서대문구 수색로 2길 16-1 3층 서울청각장애인학습지원센터,"1. 채용 직무？인원 및 형태 : 5급 직원 채용 1명/학습지원센터-학습더함팀 1명

 2. 지원자격 및 담당업무
   - 장애인복지법 시행규칙 제 41조 및 42조에 의거하여 장애인복지관 관리 및 운영요원 자격기준에 해당하는 자
   - 사회복지사？특수학교 교사？치료사 등 장애인재활 관련 자격증을 소지한 자
   (채용일로부터 3개월이내 졸업예정자이거나 관련자격증 취득에 있어 합격통보를 받은 자도 지원가능)
   - 수어가능한 자 우대
   - 팀 배치 및 업무: 학습더함팀/학습상담 및 진단(평가), 청각장애인 학습지원 사업 운영 및 관리
   - 연령, 학력, 성별 및 경력제한 없음.

① 사회복지사업법에 따라 사회복지시설 종사자 결격사유에 해당되지 않는 자(법 제35조의 2 제2항)
② 범죄 및 성폭력범죄 조회 시 결격사유가 없는 자
※ 결격사유 해당 시 합격 및 고용 취소
- 다음의 결격 사유에 해당하지 않는 자
    - 2024. 5. 13.(월) 이후부터 출근 가능한 자",신입,,(최소연봉) 3000만원,09:00~18:00,주간,2024.05.08,"서류 ,면접","온라인,방문,우편,전자우편,기타( 첨부파일 공고문 확인 )"
(고덕동)구립풍경채어린이집 보육도우미 모집,구립풍경채어린이집,"교육,보육",보육시설 서비스 종사원,1명,서울특별시 강동구 아리수로 376 -1 (고덕동) 아리수로 375 (고덕동 136) 고덕강일제일풍경채,"(고덕동)구립풍경채어린이집 환경미화(청소) 및 조리보조 업무
○ 급여; 월 1,035,300원
○ 응시자격: 자격요건 없음
○ 우대사항; 조리사 자격증 소지자
○ 근무시간; 12:30~17:00 (주5일), 휴게시간 30분
○ 전형방법 (채용시 까지)
1) 1차 서류 전형(이력서, 자기소개서)
- 전화접수(010-3065-2277) 또는 이메일( da4425520@naver.com ) 전송
- 이메일 접수 시, 이메일 제목과 파일명을 예시와 같이 보내주세요. (예시: 보육도우미 지원_자신의 이름)
2) 2차 면접 전형(서류 통과자에 한하여 개별 연락)
3) 3차 임용관련 서류 제출(합격자에 한함)
- 공무원 채용신체검사서, 잠복결핵확인서, 보건증, 성범죄 및 아동학대 전력 조회 결과서 등
○ 소재지: 서울특별시 강동구 아리수로 375 101동 1층(고덕동, 고덕풍경채어바니티) (5호선 상일동역 4번 출구에서 도보로 15분)",무관,,"(시급) 9860원
								
							
						
					  - 면접 후 협의가능 
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",12:30~17:00,주간,채용시까지(2개월이내),"서류 ,면접","방문,전자우편"
(등촌동) 회계사무원 구인,대한민국무공수훈자회,"경영,금융,회계,사무",회계 사무원,1명,서울특별시 강서구 강서로56가길 45  (등촌동) 호국보훈회관,"국고관리, 경리 업무 등
-근무시간: 09:00~16:00 (휴게시간 12~13시), 주 5일
-월급: 1,650,000원

* 우대사항: 회계/경리 업무 경력자, 국고관리(이나라 경험자)
* 입사지원: 이력서 및 자기소개서 이메일(mgt@mugong.kr) 접수. 서류 검토 후 면접일정
개별 안내",경력,1년  개월,"(월급) 165만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~16:00,주간,채용시까지(2개월이내),"서류 ,면접","전자우편,기타( 이메일(mgt@mugong.kr) 접수 )"
시립성북노인종합복지관 사무원(정규직) 채용 공고,서울시립성북노인종합복지관,"경영,금융,회계,사무",총무 및 일반 사무원,1명,서울특별시 성북구 종암로15길 10  (종암동) 성북노인종합복지관,"종사자교육훈련사업, 회계(수입원), 행정(업체계약및관리, 문서수발보존및관리, 시설보험업무 등) 업무 전반",무관,,(월급) 244만원,09:00~18:00,주간,2024.05.15,"서류 ,면접",기타( 이메일(sb7950@naver.com) )
2024년 서울특별시50플러스재단 제2차 직원채용 모집공고,서울시50플러스재단,"경영,금융,회계,사무",경영 기획 사무원,8명,서울특별시 마포구 백범로31길 21  (공덕동) 배치부서에 따라 상이함,"● 중장년 고객의 요구 및 역량과 시장을 분석하여 이·전직, 역량개발, 창업, 사회참여활동 등의 목표를 세우고 이를 위한 지원 프로그램을 기획, 홍보 운영, 사후관리를 수행하는 업무
● 문서작성, 일상관리 등의 사무 및 기타 요구되는 대·내외 행정업무",신입,,(최소연봉) 3300만원,09:00~18:00,주간,2024.05.10,"서류 ,면접 ,필기",기타( https://50plus.plusrecruit.co.kr/#/ )
2024년 서울경제진흥원 신입직원(일반직) 모집,(재)서울경제진흥원,"경영,금융,회계,사무",경영 기획 사무원,17명,서울특별시 마포구 월드컵북로 400  (상암동) 서울경제진흥원 본사 건물 및 서울경제진흥원 운영시설(서울시 소재),"○ 채용분야/규모: 총 17명

- 일반행정(공개경쟁) 11명
- 일반행정(보훈대상자 제한경쟁): 1명
- 외국어(공개경쟁): 4명
- 회계(고교졸업자 제한경쟁): 1명

※ 채용사이트(https://2024sba.recruitlab.co.kr/) 내 직무설명서 참조",무관,,(최소연봉) 3100만원,09:00~18:00,주간,2024.05.20,"서류 ,면접 ,필기",상담사알선( 채용사이트 온라인접수 https://2024sba.recruitlab.co.kr/ )
서울시지역상생교류사업단 서울동행상회 직원 채용 공고_온라인마케팅,주식회사 새농,"경영,금융,회계,사무",마케팅 전문가,○명,서울특별시 종로구 율곡로 39  (안국동) 서울동행상회(안국빌딩신관 1층),"- 온라인몰 운영 관리
 - 전반적인 브랜딩, 마케팅 업무
 - 광고 소재 및 콘텐츠 기획, 제작
 - 온라인 판매채널 광고 및 키워드 관리
 - 마케팅 데이터 관리와 성과분석, 전략수립
 - 광고 대행사 핸들링",경력,2년  개월,(최소연봉) 3400만원,09:00~18:00,주간,2024.05.07,"서류 ,면접",기타( 지정양식 이메일접수hr@seouldhsh.com )
"[창녕군, 장마면/주5일]감리단 사무보조  모집",주식회사 드림피플파트너스,"경영,금융,회계,사무",사무 보조원(일반사업체),1명,"경상남도 창녕군 강리길 23  (장마면) 초곡리125, 창녕건설사업관리단 1층","- 창녕군 장마면 감리단 사무보조
- 문서수/발신 및 기록관리, 각종공문서 관리, 내방객응대 등
- 워드,엑셀 활용능력 필수
- 근무시간 : 09:00~18:00/ 주5일근무
- 휴게시간 12:00~13:00
- 근무기간: 12개월이나  준공일까지 연장가능
- 급여 : 월 2.061.000원
- 지원방법:워크넷 , pickupjung@gmail.com 로 지원",무관,,(월급) 207만원,09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접","전자우편,기타( 워크넷 지원, pickupjung@gmail.com )"
경력직 경리 사무원 모집,주식회사 대범건설,"경영,금융,회계,사무",경리 사무원,1명,서울특별시 서초구 남부순환로347길 60  (서초동) 4층,"-경력직 경리 사무원 
-직무내용: 회계업무, 기타관리 업무
-근무시간; 09:00~18:00/주5일
-휴게시간: 12;00~13:00
-급여ㅣ 월250만원",경력,3년  개월,(월급) 250만원,09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
은평구립역촌노인복지관 사무원 채용 계획 공고,은평구립역촌노인복지관,"경영,금융,회계,사무",총무 및 일반 사무원,1명,서울특별시 은평구 연서로3나길 11 -30 (역촌동) 1층 역ㅊ노인복지관,회계 및 서무업무,무관,,(월급) 232만원,09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접","기타( 자사양식, 이메일 접수(yc9452@daum.net) )"
[사당동] 영지빌딩 경리사무원 채용,영지빌딩,"경영,금융,회계,사무",경리 사무원,1명,서울특별시 동작구 동작대로27가길 44  (사당동) 사당동,"[사당동] 영지빌딩 경리사무원 구인

- 장부정리 및 경리(약 1,000평 건물 관리)
- 주5일 근무(09:00~17:00), 휴게12:00~13:00, 주 35시간
- 월 200만원
- 필수 사항 : 컴퓨터 사용가능자
-전화문의(02-592-4727/010-2367-3773)",무관,,"(월급) 200만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~17:00,주간,채용시까지(2개월이내),면접,방문
2024년 4월 보건복지상담센터 상담사(공무직) 모집 공고,보건복지부,"경영,금융,회계,사무",콜센터 상담원(콜센터·고객센터·CS센터),13명,서울특별시 영등포구 선유동2로 57  (양평동4가) 자살예방상담전화,ㅇ 자살예방상담,무관,,"(월급) 226만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",,3교대,2024.05.06,"서류 ,면접",기타( 이메일 접수(담당자 이메일 : nano1981@korea.kr) )
한국문화예술교육진흥원 24-4차 직원(계약직) 채용,한국문화예술교육진흥원,"경영,금융,회계,사무",경영 기획 사무원,1명,서울특별시 마포구 상암산로 76  (상암동) 11~12층,"ㅇ 법무/정보화팀: 1명(휴직 대체)
(주요 담당업무) 기관 윤리경영 및 인권경영
(계약기간) 입사일로부터 '24년 12월 초까지

※ 계약기간은 해당 육아휴직자의 사정에 따라 기간 연장 혹은 계약 종료가 될 수 있음
※ 온라인 접수만 가능함. 상세내용은 한국문화예술교육진흥원 홈페이지(https://www.arte.or.kr/)에서 확인 바람
※ 원서 접수 사이트: https://recruit.incruit.com/arte/",신입,,(최소연봉) 2900만원,09:00~18:00,주간,2024.05.10,"서류 ,면접",온라인( 온라인 홈페이지 접수 : https://recruit.incruit.com/arte/ )
[상암동] 배차관리 사원 모집,다모아자동차(주),"경영,금융,회계,사무",도로 운송 사무원(배차사무 포함),1명,서울특별시 마포구 가양대로 117  (상암동) 상암공영차고지,"상암동 차고지 시내버스 배차업무
- 운행관리 및 배차스케줄 조정, 현장관리 등
- 격일 07시 교대 (휴게5시간이상), 월 281만원
- 운전업무없음 

* 신체 건강한자 우대",무관,,"(월급) 281만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",07:00~07:00,2교대,채용시까지(2개월이내),면접,"방문,기타( 전화 후 면접일정 )"
서울시각장애인생활이동지원센터 배차원 모집 공고(~2024년 5월 6일(화) 18시까지),서울시각장애인생활이동지원센터,"경영,금융,회계,사무",도로 운송 사무원(배차사무 포함),1명,서울특별시 동작구 상도로 216  (상도동) 인경빌딩 3층,"시각.신장장애인 차량 전화접수, 배차, 관제업무

가. 채용형태: 계약직(1년 계약 후 정규직 전환 가능)
나. 근무형태: 1일 근무 후, 1일 휴무이고 하루 12시간 근무
(한달마다 출근시간이 변경 되며, 24시간 운영이기 때문에 야간근무도 있음)",무관,,"(월급) 234만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함","1일 근무 후, 1일 휴무이고 하루 12시간 근무",격일,2024.05.06,"서류 ,면접","기타( 자사양식, 이메일접수(kbuseoul2@hanmail.net) )"
[삼각지역] 웰컴금융타워 사무관리(관리과장)직 채용,주식회사케이에스메이트,"경영,금융,회계,사무",총무 및 일반 사무원,1명,서울특별시 용산구 한강대로 148  (한강로2가) 웰컴금융타워,"[웰컴금융타워 사무관리(관리과장)직 채용]

ㅇ 직무 : 건물관리와 관련된 사무 및 행정관리

ㅇ 근무지 : 서울시 용산구 한강대로 148, 웰컴금융타워

ㅇ 우대사항 : 엑셀, 워드 능숙자 우대

ㅇ 근무시간 : 09:00~18:00(휴게시간 12:00~13:00) / 주5일 근무 

ㅇ 급여 : 월340만원",무관,,"(월급) 340만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
업무지원 행정사무원 기간제근로자 채용공고 / 접수기간: 4.18(목)~5.10(금)까지,서울특별시립강남주민편익시설,"경영,금융,회계,사무",총무 및 일반 사무원,1명,서울특별시 강남구 남부순환로 3318  (일원동) (일원동) 강남주민편익시설,"- 총무 일반 사무행정 업무
- 접수처 지원 업무
- 시설관리 및 안전점검(시설 순회점검)
- 시설 홍보물 제작 (현수막, 베너 등)


※ 지원희망자는 자사양식 작성하여 이메일 접수 바랍니다.  knyka1913@hanmail.net",무관,,"(최소연봉) 2700만원
									
								
							
							
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.10,"서류 ,면접","우편,팩스,기타( 이메일 지원  knyka1913@hanmail.net (자사양식) )"
2024년도 성북구장애인체육회 신규 직원(일반행정) 채용 공고 / 접수기간 : 04.16.(화) ~ 04.23.(화),성북구장애인체육회,"경영,금융,회계,사무",공공행정 사무원,1명,서울특별시 성북구 오패산로 25  (하월곡동) 4층 성북구장애인체육회,"■ 일반행정 업무
■ 보조금 사업 예산 신청, 집행, 결산에 관한 사항
■ 인사 및 후생복지 관련 업무
■ 장애인체육회 지원사업 및 프로그램 기획, 운영 등
■ 체육회 규정 제정·개정 등",무관,,(월급) 265만원,09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",기타( 이메일 접수 : sbsdad5559@naver.com (자사양식) )
서울특별시 장애인치과병원 사무직-일반행정(정규직) 채용공고 / 접수기간 : 4.18(목)~5.3(금) 14시까지,서울특별시 장애인치과병원,"경영,금융,회계,사무",공공행정 사무원,1명,서울특별시 성동구 마장로 207  (홍익동) 서울특별시 장애인치과병원,"- 총무과 업무 전반
  ※ 직무기술서 참고

- 자격요건 : 상경계열, 법·(보건)행정계열, 유사학과 졸업자 또는 이에 준하는 자


※ 자세한 사항은 서울특별시장애인치과병원 홈페이지(https://www.sdh.go.kr) 채용공고문에서 확인바랍니다.",무관,,(최소연봉) 4100만원,08:30~17:30,주간,2024.05.03,"서류 ,면접 ,신체검사",기타( 자사 홈페이지 온라인 양식 )
경영지원 사무원 모집,유니온화재특종손해사정(주),"경영,금융,회계,사무",총무 및 일반 사무원,2명,서울특별시 영등포구 선유서로 117  (양평동3가) 유니온화재특종손해사정(주),"[경영지원 사무원 모집]

직무: 인사, 총무, 경영지원, 경리 사무 업무 
- 경력3년이상
- 회계, 전산 관련 자격증 소지자 우대
- 의사소통 원활하신 분 희망 

근무시간: 09:00~18:00 (휴게1시간) / 주5일

연봉: 2,800~3,800만원 (경력에 따른 협의)

* 지원방법: 이메일 지원 union267@unionsonsa.com",경력,3년  개월,"(최소연봉) 2800만원
									
								
							
							
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
발산역인근 인사관리 및 행정업무 사무원 구인,대한민국월남전참전자회,"경영,금융,회계,사무",협회·회원단체 사무원,2명,서울특별시 강서구 강서로56가길 45  (등촌동) 대한민국월남참전자회,"* 부장급(기획/총무부장)-인사관리 및 행정 및 시험관련 업무
- 근무시간: 09:00~16:00 (휴게시간 1시간)
- 월급:1,679,000원

* 과장급-회원증발급, 사무업무
- 근무시간:09:00~16:00 (휴게시간 1시간)
- 월급: 1,650,000원

** 입사지원: 이력서, 자기소개서 이메일(pshssw01@gmail.com) 접수. 서류 검토 후 면접일정 개별 안내 
** 컴퓨터활용(문서작성, 엑셀) 원활한 사용자",무관,,"(월급) 165만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~16:00,주간,채용시까지(2개월이내),"서류 ,면접","전자우편,기타( 이메일(pshssw01@gmail.com) )"
일반사무직원 모집(장애인 채용),금오디자인,"경영,금융,회계,사무",전산자료 입력원 및 사무 보조원,1명,서울특별시 중구 마른내로4가길 26 -3 (인현동1가) (금오디자인),"전산입력, 일반 사무 등
-장애인만 채용",무관,,"(월급) 200만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:40~17:40,주간,채용시까지(2개월이내),"서류 ,면접",방문
전기안전 관리 대행 경리업무 모집,조은전기안전관리(주),"경영,금융,회계,사무",경리 사무원(일반사업체),1명,서울특별시 서초구 반포대로14길 54  (서초동) 신성오피스텔1301호(서초동),"조은전기안전관리 대행 사무관리직

- 직무내용 : 전기안전관리 대행업체로 주로 사무실에서 전화응대 및 제반사항 처리
(컴퓨터(온라인) 활용 필수)

- 근무 시간 : 09:30~16:00 협의 가능(일 5시간 30분 이상, 급여는 근무시간에 비례하여 협의)
- 휴게시간 : 12:00~13:00

- 급   여 : 연봉35,000,000원이상 (주5일 27시간)

- 자격면허 : 전기산업기사(필수), 전기기사(필수)

- 접수방법 : 이력서 방문 또는 이메일 지원  lkjun20@naver.com   / 경력2년이상 필수 / 궁금하신 사항 있으신 분은 이교준 사장님(h.p 010-8662-2161) 연락 바랍니다.",경력,2년  개월,"(최소연봉) 3500만원
									
								
							
							
							
							
						
					  - 면접 후 협의가능",09:30~16:00,주간,채용시까지(2개월이내),면접,"방문,전자우편,기타( 이메일 lkjun20@naver.com )"
"엑셀작업, 장부정리 가능자 구인",(주)한국건설소방,"경영,금융,회계,사무",단순 경리 사무원,1명,서울특별시 동대문구 무학로 190  (용두동) (용두동),"-인터넷작업, 장부정리 / 엑셀작업
-사무보조
-9-18시 주 5일 시급9860원(206만원)",신입,,"(시급) 9860원
								
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접","방문,팩스,전자우편"
[아차산역] 사무직원 모집,행복공조 주식회사,"경영,금융,회계,사무",총무 및 일반 사무원,1명,서울특별시 광진구 광나루로40길 12  (구의동) 행복공조 주식회사,"[어린이대공원 인근] 사무직원 채용

- 견적서, 세금계산서 작성 및 은행업무 등

- 09:00~18:00 (휴게 1h, 주5일 근무)

- 월급: 220만원

* 3개월 수습기간 적용 추후 급여 협의 가능",무관,,"(월급) 220만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
업무과 직원 채용,현대자동차 신대치대리점,"경영,금융,회계,사무",영업 기획·관리·지원 사무원,1명,서울특별시 강남구 삼성로 324  (대치동) 현대자동차 신대치대리점,차량 계약 정보 입력 및 출고 업무,무관,,"(월급) 230만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",방문
"자재관리, 입출고 관리업무",주식회사 가산프라스틱,"경영,금융,회계,사무",자재·구매·물류 사무원,1명,"서울특별시 동대문구 무학로 128 -1 (용두동) 용두동, 가산빌딩","-자재 출고, 입고 관리 업무
-평일 7:00~17:30/ 토7:00~12:00(월1회토 휴무) (휴게시간 1시간)
-연봉 3,112만원
-고졸이상
-중식제공
-제기동역 6번출구 500m
-채용담당자 010-5234-3073 통화 후 면접

*워크넷 연계위해 주40시간으로 기재

실업급여수급자 지원금지",신입,,"(최소연봉) 3112만원
									
								
							
							
							
							
						
					  - 면접 후 협의가능 
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",07:00~17:30,주간,채용시까지(2개월이내),"서류 ,면접","방문,팩스"
민원서류발급대행 구인,주식회사 하나아이디,"경영,금융,회계,사무",행정사·문서대행자,1명,서울특별시 관악구 남현3길 74  (남현동) 3층,"민원서류 발급업무 대행
근무시간 07:30~12:30 휴게(x) , 주 5일 근무
월급 : 75만원, 전화 접수
문의 : 담당자 010-5467-4555",무관,,(시급) 9860원,07:30~12:30,주간,채용시까지(2개월이내),,기타( 전화 접수 )
서울드래곤시티 호텔 객실예약팀 채용,(주)서부티엔디,"경영,금융,회계,사무",고객 상담원(스포츠·예식·항공·여행·숙박·오락),10명,서울특별시 용산구 청파로20길 95  (한강로3가) 서울드래곤시티 호텔,"- 객실예약 응대, 비대면 내/외부 고객 전화 문의 응대

- 영어 회화 가능자 필수

- 고졸이상, 관련 업무 유경험자 우대

- 월 220만원 (면접시 협의 가능)

- 09:00~18:00 (휴게시간 12:00~13:00)

- 주5일 스케줄 근무",무관,,"(월급) 220만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
창고관리원 모집,주식회사 대진필름,"경영,금융,회계,사무",창고 관리원(자재 검수원 포함),1명,서울특별시 중구 장충단로7길 46  (쌍림동) 대진필름,"필름지 상품 입출고 및 단순전산처리
-간단한 엑셀입력
-20kg내외 물품",무관,,"(월급) 220만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),면접,방문
(상일동)한국종합기술사옥 안내직원 모집,(주)애드민,"경영,금융,회계,사무",데스크 안내원,1명,서울특별시 강동구 상일로6길 21  (상일동) (상일동)한국종합기술 사옥,"(상일동)한국종합기술사옥 안내데스크 업무
- 월207만원 (세전) / 중식제공
- 07:30~17:30 (주5일) / 휴게시간- 09:30~10:00, 13:30~15:00  
- 지원방법: 통화(02-2049-2718, 010-9220-3995) 후, 내방 또는 이력서 팩스(02-2049-2730) 전송",무관,,"(월급) 207만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",07:30~17:30,주간,채용시까지(2개월이내),"서류 ,면접","팩스,기타( 통화후, 내방 )"
중부시장내 신광상회 경리사무원,신광상회,"경영,금융,회계,사무",경리 사무원,1명,서울특별시 중구 동호로 347  (오장동) 오장동139. 중부시장14공구,"중부시장내 신광상회 경리사무원
근무시간 오전7시부터 오후2시까지 토요일 오전7시부터 오후1시까지
주6일근무임 급여230만원
중식제공함 간단한 경리업무임, 신입도 가능함
55세이전까지 지원가능함
설, 여름휴가, 추석 (3변 급여의 100프로 지급함)",신입,,"(월급) 230만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",07:00-14:00,주간,채용시까지(2개월이내),면접,"방문,팩스"
[을지로3가역] 여행사 예약센터 상담원 모집,(주)윌앤비전,"경영,금융,회계,사무",콜센터 상담원(콜센터·고객센터·CS센터),15명,서울특별시 중구 수표로 31 노랑풍선빌딩,"[[ 노랑풍선 여행사 예약센터 상담원 ]]

- 팀직통번호로 인입되는 인바운드 여행상담 응대

- 홈쇼핑 해피콜 진행-> 여행예약 상담및 예약 입력, 예약금 수령등 예약 확정에 따르는 
업무수행

- 09:00~18:00 (휴게 1h)/ 주5일근무

- 월급: 2,060,740~2,700,000원 (복지포인트, 상여금 별도 지급)",무관,,"(월급) 236만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
국립국악중고등학교 기간제 근로자(기숙사 부사감) 채용 공고,국립국악고등학교,"경영,금융,회계,사무",기숙사사감 및 독서실·고시원 총무,2명,서울특별시 강남구 개포로22길 65  (개포동) 국립국악고등학교,"기숙사 학생 생활지도, 관리 및 시설물 점검",무관,,(시급) 10107원,20:00~08:00(휴게시간 3시간),기타,채용시까지(2개월이내),"서류 ,면접",전자우편
